Species,Mass(g),BMR (kJ/h),Timeb,Foodc,Climated,Habitate,Torpor?f,Migrationg,Islands?h,Mountains?i,Flightless?j,Reference
Fulmarus glacialis,728,13.75,N,AI,P,M,N,Y,N,N,N,Bryant & Furness 1995
Gallinula mortierii,954.4,11.47,D/N,AV,T,G,N,N,N,N,Y,McNab & Ellis 2006
Gallinula tenebrosa,512.4,8.42,D/N,AV,T,W,N,N,N,N,N,McNab & Ellis 2006
Gallinula ventralis,309.2,5.81,D/N,AV,T,W,N,N,N,N,N,McNab & Ellis 2006
Gallirallus australis,813.5,6.58,D/N,O,T,F,N,N,L,N,Y,McNab & Ellis 2006
Gallirallus owstoni,198.8,3.3,D/N,O,TR,F,N,N,S,N,Y,McNab & Ellis 2006
Gallirallus philippensis,171.7,3.51,D/N,O,TR,G,N,N,N,N,N,McNab & Ellis 2006
Garrulus glandarius,153,4.99,N,O,T,F,N,N,N,N,N,Kendeigh et al. 1977
Glyphorynchus spirurus,13.5,0.72,N,I,TR,F,N,N,N,N,N,Wiersma et al. 2007
Gymnopithys bicolor,27.7,1.2,N,I,TR,F,N,N,N,N,N,Wiesma et al. 2007
Habia fuscicauda,40,1.28,N,F/I,TR,F,N,N,N,N,N,Wiersma et al. 2007
Haematopus ostralegus,554,10.48,N,AI,T,M/L,N,Y,N,N,N,Kersten & Piersma 1987
Halobaena caerulea,191,6.38,N,AI,T,P,N,N,N,N,N,Brown 1988
Hedydipnak collaris,8.3,0.61,N,I,TR,F,N,N,N,N,N,Prinzinger et al. 1989
Himatione sanguinea,13.5,1.08,N,P,TR,F,N,N,I,N,N,Weathers et al. 1983
